Name,Description
Cloudprinter CloudSignal REST API v1.1,The Cloud Signal API is RESTful calls that are implemented as HTTP post requests  All request data posted to the API must be JSON objects that includes services for  Order received and accepted by the production  Production that has started for an item  Production that is completed for an item and more  Cloudprinter allows you to create printed products from your content or application globally 
Cloudprinter Core REST API v1.0,The Cloudprinter s API allows you to create any printed product from your content or application globally  It is a RESTful API with calls that are implemented as HTTP post and includes  List all orders  Add order  Cancel order and more 
Cloudprinter Order JSON REST API v2.1,This Cloudprinter Order JSON API provides a way to deliver order information from Cloudprinter to a production with a JSON document that is posted to the productions API  The API provides order documents in JSON format that are posted at the productions order endpoint  The document consists of one order  one or more items and reference to the needed production files for the specific product  Cloudprinter allows you to create printed products from your content or application globally 
Cloudprinter Order XML REST API v2.1,This Cloudprinter Order XML API provides a way to deliver order information from Cloudprinter to a production with an XML document that is posted to the productions API  The API provides order documents in XML format that are posted at the productions order endpoint  The document consists of one order  one or more items and reference to the needed production files for the specific product  Cloudprinter allows you to create printed products from your content or application globally 
CloudSignal Webhooks Streaming API v2.0,The Cloud Signal Webhooks API is RESTful calls that are implemented as HTTP post and TLS encrypted  It provides a way to receive notifications for  Items received and validated by the production  production that has started for item  production that is completed for item and more  Cloudprinter allows you to create printed products from your content or application globally 
Elanders Business Connect REST API v1.0,The Elanders Business Connect API with Drop Shipping Service allows you to print your personalized content and send it directly to your customers as a white label solution  Elanders Print and Packaging is a leader in print innovation  packaging and web to business services 
FinerWorks REST API v3.0,The Finer Works Order API provides a way for developers to build applications that utilize Finer Works production services for print and order fulfillment  It allows you to integrate your application or website with Finer Works drop shipping and order fulfillment service  and transmit orders directly from your shopping cart or application  This Restful service requires an API and APP key  to be included as a querystring parameter in the request URI that supports JSON requests via GET or POST to  Place Orders  Get Order Status  Cancel Orders  Update Orders  Calculate Shipping  Get Product Detail and Pricing  Finer Works is a service for artists and photographers requiring high end prints on fine art papers  wood prints and canvas 
Gelato REST API v1.0,The Gelato API allows you to follow orders and track deliveries in real time  It is organized around REST and has predictable  resource oriented URLs  This includes  Promise UID  Product UID  Files for print  Customer support and more  It provides a way to to get the list of shipping options and Promise UIDs for your product  start the production and shipping process against your Promise UID returned from the Quote API  and get the order details about status  production log or tracking information  Gelato provides an intelligent global cloud print service that is accessible for users from any device globally 
InkMonk,The Ink Monk service is for companies or organizations that want to distribute branded merchandise but don t have the time  funds  or human resources to create  package  and ship them all  Inkmonk solves this issue  allowing users to create  manage  and send swag to their audience  Using the Ink Monk API  developers can integrate the Ink Monk service  using simple calls  The different API parameters include a SKU call for individually identifying each design type  merchandise for identifying and managing products  a recipient call for tracking address and buyer information  and a shipment function for automating shipping orders  Ink Monk requires an API key for use  and the API communicates over HTTP in JSON formats 
Kite,Kite ly is a B 2 B print on demand platform API built for businesses and developers  Kite ly prints multiple products  including polaroid style  square style  magnets  and postcards  and facilitates direct worldwide delivery  Kite ly uses HTTP and allows language wrappers in Android  i OS  and Python  Kite ly also allows customization through the ability to upload your own PDFs 
Lob Address Verification,Lob Address Verification API is a fee based cloud API that verifies addresses to confirm deliverability potential  This API performs cleansing  standardizing  and local geocoding of submitted addresses  both domestic and foreign  The Lob Address Verification API supports UTF 8 encoded characters to ensure worldwide verification ability  Domestic verification is free and verification of over 150 countries is available through a fee  Lob API requires an authentication key and is REST oriented This API provides Ruby  Node js  PHP  Java    Python wrappers for ease of integration 
Lob Letters REST API v1,The Lob Letters API simplifies the printing and mailing of letters  Use the API s endpoints to integrate Lob functionalities that will allow you to create letters  retrieve individual letters  cancel letters  and retrieve a list of letters 
Lob Simple Area Mail,Lob Simple Area Mail API is a fee based cloud API that allows businesses to prospect entire delivery areas or zip codes to grow customer base  This API service does not require a contract  allowing single or recurring mass mailings  Lob API requires an authentication key for the creation of bulk mailing jobs that are processed and mailed  This API provides Ruby  Node js  PHP  Java    Python wrappers for ease of integration 
Lob Simple Check Service,Lob Simple Check Service API is a fee based cloud API that automates check payments for businesses and developers  This API is scalable and customizable  allowing businesses to add branding logos and descriptive content on the fronts of their bank grade business checks   Lob Simple Check Service API requires an authentication key for the creation of check print jobs that are processed and mailed  This REST API supports a URL or local file for the logo creation  This API provides Ruby  Node js  PHP  Java    Python wrappers for ease of integration 
Lob Simple Postcard Service,Lob Simple Postcard Service API is a cloud based API that scales postcard production to business specification and allows personalization through dynamic content   This API creates on demand printing of postcards and features a tracing feature that follows the location and arrival time of individual postcards  which is included in the cost  Lob API requires an authentication key for the creation of postcard print jobs  This REST API requires PDF  image  or an HTML string for the front and back of the postcard  This API uses HTTP response codes for error indication  This API provides Ruby  Node js  PHP  Java    Python wrappers for ease of integration 
Lob Simple Print Service,Lob Simple Print Service API is a cloud based API that automates business print workflow  This API creates on demand and recurring customer communication  such as invoicing  postcards  and greeting cards  Additionally  services such as automated production of business cards for new employees  posters  photographs  and mailing services are accessible through this API  Lob Simple Print Service API requires an authentication key for the creation of single print jobs that are processed and mailed  This REST API supports PDF  PNG  and JPEG image types and uses HTTP response codes for error indication  This API provides Ruby  Node js  PHP  Java    Python wrappers for ease of integration 
Lulu Publishing,The Lulu Print API allows you to use Lulu com as your production and fulfillment network by integrating it directly into your own application  The Lulu API utilizes the same APIs that Lulu uses internally to normalize files and send Print Jobs to our production partners around the world  Whether you re a Developer  Start up  Entrepreneur or Publisher  you can now incorporate global Print on Demand book manufacturing and distribution into your own business quickly and easily at the best commercial rates in the industry 
Mimeo Connect,Mimeo is an on demand cloud printing service  Use the Mimeo Connect API to access Mimeo s document workflow and production and distribution functionality  Mimeo s API is RESTful and supported by any programming language  See their documentation for helpful code examples and a starter library  A My Site login is required for access to the API 
OneFlow,One Flow is a provider of printing services for on demand productions and Web to Print integrations  One Flow offers rapid customer onboarding  international shipping  artwork manipulation support  and unlimited workflows  The API serves as a platform to submit batch orders and create shipments  This platform uses JSON for predefined submissions and responses 
Preflight REST API v1.0.1,Preflight API automates design checking for inefficiencies in printing jobs  The API supports user and reseller methods for print jobs preparation  JSON is the preferred response format  Preflight API makes sure that each print job is ready for production 
Print From Windows Phone RPC API,Print From Windows Phone offers an API in SOAP format that can be used to send documents to print using the print spooler software  Users need to install the software on the PC to connect to the destination printer  either via WIFI or USB  The site shows 3 steps to use Print From Windows Phone  create an account to have access to 10 mb  download the software required  use the e mail in the website to print from a Windows phone  To test the service  developers can access 2 responses in SOAP with respective requests and responses 
Printchomp,Printchomp is a printing service that connects customers to the appropriate printers based on their requested print jobs  The Printchomp API allows developers to integrate its features into their applications  Printchomp enables users to print online  in real time 
Printed.com Platform REST API v1,The Printed com Platform API returns JSON data associated with artwork  pricing  file management  image manipulation  and product imposition  API Keys are required for authentication  Printed com gives merchants and factories personalized products such as postcards  greeting cards  folded leaflets  stickers  posters  and more 
Printify REST API v1,The Printify API provides data to print  create products  and fulfill orders  API reference includes shops  catalogs  products  orders  and uploads and use cases cover create orders with user generated content  connect en E commerce channel  support existing integrations with more functionality  and offer merchandise sales to a community  Printify provides drop shipping   printing for ecommerce 
Print.IO,The Print IO API allows to print photos from web services and mobile devices  It provides JSON protocols with HTTP header in addition to authentication with API Key  Print IO provides on demand printing services 
Printmotor Client,Printmotor is an online platform for creating and printing documents  such as flyers  The Printmotor Client API allows developers to access and integrate the functionality of the Printmotor backend with other applications  The main API method is integrating the Printmotor service 
Printmotor Server,Printmotor is an online platform for creating and printing documents  such as flyers  The Printmotor Server API allows developers to access and integrate the functionality of Printmotor s production and printing services with other applications  An example API method is sending and retrieving orders 
PrintNode,The Print Node API simplifies the process of integrating remote cloud printing into your application  In order to print remotely  one can use the Print Node API to host a PDF  called a Print Job  on the Print Node Server  and then transmit it to any computer with client side Print Node software installed and a unique Print Node ID obtained through account creation  Documentation  code libraries  and a control panel exist to help developers integrate the service into their applications and monitor activity 
PRINTR,PRINTR is a 3 D printing platform  It comes with beginner friendly applications for designing 3 D objects and also allows users to purchase existing 3 D models online  Users can print objects and track the progress of objects being printed from their mobile devices  PRINTR s public API allows users to get printer types  sliceprofiles  available materials and colors  and 3 D printing locations where a given material and color are available  The private API endpoints allow users to get  create  update  and delete information on users  files  printers  sliceprofiles  materials  print queues  3 D files  and file meshes  It can also render a  jpg image of a model or do a quickslice of an uploaded file 
Prodigi Print,Prodigi is a U K  based on demand printing service which offers framing  art consultancy  and worldwide fulfillment  The Print API can be used to integrate the international on demand fulfillment service to e commerce platforms  Also  with the Print API  developers can place orders or obtain live status of orders with tracking information  This REST API responds in JSON format  and uses API Keys for authentication 
pwint.ly,The pwint ly API allows merchants to register images and photographs from their own galleries with Pwint ly s system  Pwint ly then provides unique URLs which customers can follow to purchase a variety of products based on those photographs  These products include prints  canvases  posters  phone cases  etc  Pwint ly is a service that helps users monetize their photographs by handling the manufacture and delivery of photograph based products 
QuantumDigital REST API v1.0,The Quantum Digital API provides fulfillment of commercial printing and direct mail applications including mailing list provisioning  Quantum Digital is targeted direct marketing to accelerate sales and engagement for real estate agents and SMB s 
Scalable Press Billing REST API v2,Scalable Press is a provider of printing and fulfillment technologies  The Scalable Press Billing API allows users to track invoices and payments for orders processed through the Scalable Press website  Use the API to list invoice objects  retrieve invoice object  and complete Pay Pal payments  The API currently accepts only Pay Pal payments 
Scalable Press Customization REST API v2,Scalable Press is a provider of printing and fulfillment technologies  The Scalable Press Customization API shows the list of customization options  such as tags and stickers  available to a user account  This makes it easier for a user to create a design and add desired customization 
Scalable Press Design,Scalable Press is an on demand printing and fulfillment service that takes orders through an API  Scalable Press provides screen printing and direct to garment printing for garments and sublimation printing for phone cases and mugs through their production warehouses  Their site offers requirements for artwork  ink color selection  proof requirements  sizing  and shipping information  The Scalable Press Design API allows input regarding the print design and supplies a design specific identification code to allow input and retrieval of design object  This API is a REST service supporting requests GET  POST and DELETE  with response in JSON 
Scalable Press Event REST API v3,Scalable Press is a provider of printing and fulfillment technologies  The Scalable Press Event API allows users to keep track of the events of their orders  A user can query multiple events or retrieve a single event 
Scalable Press Mockup REST API v3,Scalable Press is a provider of printing and fulfillment technologies  The Scalable Press Mockup API allows users to produce renderings of printed products with their own artwork  The resulting images can be used in online stores  A user must provide the details of a design and product to be able to receive the rendered mockup image s URL 
Scalable Press Order,Scalable Press is an on demand printing and fulfillment service that takes orders through an API  Scalable Press provides screen printing and direct to garment printing for garments and sublimation printing for phone cases and mugs through their production warehouses  Their site offers requirements for artwork  ink color selection  proof requirements  sizing  and shipping information  The Scalable Press Order API allows orders to be placed  verification of order status  and ability to retrieve previous orders  This API is a REST service supporting requests GET  POST and DELETE  with response in JSON 
Scalable Press Product,Scalable Press is an on demand printing and fulfillment service that takes orders through an API  Scalable Press provides screen printing and direct to garment printing for garments and sublimation printing for phone cases and mugs through their production warehouses  Their site offers requirements for artwork  ink color selection  proof requirements  sizing  and shipping information  The Scalable Press Product API provides information  graphics  and availability of all available products  This API is a REST service supporting requests GET  POST and DELETE  with response in JSON 
Scalable Press Quote,Scalable Press is an on demand printing and fulfillment service that takes orders through an API  Scalable Press provides screen printing and direct to garment printing for garments and sublimation printing for phone cases and mugs through their production warehouses  Their site offers requirements for artwork  ink color selection  proof requirements  sizing  and shipping information  The Scalable Press Quote API provides quotes for services  as well as the ability to retrieve previous quotes  This API is a REST service supporting requests GET  POST and DELETE  with response in JSON 
teelaunch REST API v1,teelaunch is a print on demand fulfillment company that leveraged the power of Shopify to create your mockup  product and automatically set up fulfillment via their app  They take your design ideas and orders your website  we will print the product  ship the product and act as a customer liaise if anything goes wrong  This alleviates the need for any inventory  large investments  or anywhere to store and ship your products The teelaunch API a RESTful API  that uses HTTP GET  POST  PUT and DELETE methods to interact with the teelaunch system  All API interactions require an API key except for the POST account endpoint  Accounts must be verified before your API key will function  Accounts are typically verified within 24 hours but may take up to 72 hours An API Key can be retrieved by you creating a teelaunch account through the API or by logging in to 
ThePrintQ Account,Print Q is a web to print shop and marketing platform solution  Offering a unique revenue stream for mobile or web applications  the custom print shop can be embedded with interactive templates for instant ordering and proofing  Templates may be uploaded from a PDF to instantly create custom business cards  flyers  folders  posters  placemats  and tee shirts  The REST Print Q Account API is good for managing large organizations  The Account API will access  return  and modify data concerning people  marketing tools  such as email  print  messages  and campaigns   e Commerce items and purchase orders  as well as web pages  blogs and related forums  The API comes well described  all of it s methods may be decimated on the API documentation page 
ThePrintQ Person,Print Q is a web to print shop and marketing platform solution  Offering a unique revenue stream for mobile or web applications  the custom print shop can be embedded with interactive templates for instant ordering and proofing  Templates may be uploaded from a PDF to instantly create custom business cards  flyers  folders  posters  placemats  and tee shirts  The REST Print Q Person API offers methods for creating  reading  updating  and deleting personal tags  emails  purchases  and interaction histories with The PrintQ service  The API comes well described  all of it s methods may be decimated on the API documentation page 
Unofficial Google Cloud Print,The unofficial Google Cloud Print Java API by jittagornp offers two main options  load printer capabilities to create an XML format file with Windows API and the other alternative  obtain a PPD file of the Post Script printer  By using one file or the other  Google Cloud Print will be able to understand printer capabilities  Some examples include how to connect   disconnect from Google Cloud Print  register printer  submit job  and search printer 
Voodoo Manufacturing Print REST API v2.0,The Voodoo Manufacturing Print API integrates printing into manufacturing and 3 D applications  It is available with Swagger Framework  API Keys for access  and JSON formats for interaction  With the API  developers can obtain a list of available printing materials  upload printing models  generate quotes for shipping methods  and confirm printing orders 
Bazaarvoice Privacy REST API v1.0,The Bazaarvoice Privacy API allows developers to integrate Bazaarvoice into their General Data Protection Regulation  GDPR  compliance workflows in a secure way  This API can be used to request access to an end user s personal data  request deletion of an end user s personal data  and retrieve information about pending requests Bazaarvoice helps companies learn about and connect with their customers so they can deliver better shopping experiences 
Data Privacy Compliance,The Data Privacy Compliance API encodes data privacy and protection laws from around the world and returns risk and compliance assessments regarding the proposed use of a person s personal data  This project may be of interest to anyone who regularly processes  publishes  stores  deletes  or transfers someone else s personal data or personally identifiable information  PII   This is a REST web service API written in the Wolfram Language and it currently provides JSON responses  This is an early stage open source project  The API endpoint is not hosted yet 
IronCore Indirect API v1.0,Iron Core enables developers to manage  protect  and segment sensitive data  Iron Core offers end to end data privacy solutions and cloud capabilities to simplify compliance and trust with encryption  device management  tamper proof monitoring  and key management  The Iron Core API is accessible via SDK 
Prifender PAPI Unspecified API,The Prifender PAPI API is a privacy API that works to help corporate applications make effective use of personal information that is available across the enterprise  This API offers self serve data access portal  data for workflow initiation systems  connectivity for DLP solutions  and integration with security and e discovery tools  To learn more about gaining access to the Prifender PAPI API  follow the  contact us  information on the API page or send an email to info prifender com
Privitar,The Privitar API allows developers to access and integrate the functionality of Privitar with other applications  Public documentation is not available  API access comes with account service  Privitar offers privacy and security engineering services  tools  and functions 
StrongSalt REST API v1.0,The Strong Salt API allows access to the Strong Salt encryption platform to register a new user  promote a regular user to admin  register a new company and more  It enables users with the ability to build data protection privacy into applications or workflows  and to manage both security and usability in a privacy centered environment  Strong Salt is an encryption platform that provides services to build an internet infrastructure for data privacy 
Tanker Indirect API,Tanker adds in app encryption capabilities without affecting user experience or performance  Tanker takes care of key and identity management  and all user actions are encrypted  Tanker does not store data  all users and groups use their own keys which are associated with their cryptographic identities  SDKs are available for easy front end integration 
TM Forum Privacy,The TM Forum Privacy API allows developers to handle privacy profile types  privacy profiles  and privacy agreements over a standardized interface  TM Forum is a global member association for digital businesses  They provide a platform on which members from a wide range of industries can create  prototype  deliver  and monetize digital services for their customers 
W3C Confinement with Origin Web Labels Native/Browser API,The W 3 C Confinement with Origin Web Labels API is a specification that defines an API for specifying the privacy and integrity policies on data via origin labels  It also specifies mechanisms for confining code according to those policies  This specification is a work in progress and may be updated  replaced  or rendered obsolete at any time 
1WorldSync Content1 REST API v2.2,This Json API will allow you to exchange product content using 1 World Sync s product information cloud platform  Specify and search by category  code or description  Share product data with over 16 000 other global users 
Akeneo Authenticate REST API v1.0,This Authentication API provides a way to authenticate users in the Akeneo API and Symphony ACLs to handle authorizations that allows third party applications to use the API  You will need to create a client id to identify a client application  When using the PIM through the UI  ACLs define what a user can and cannot do  The Akeneo API helps to centralize all the technical and marketing information of your catalogs and products that provides a service for product information including  Product  Category  Family  Attribute  Media file and more  Akeneo is an open source Product Information Management  PIM  system designed for retailers looking for efficient answers to their multichannel needs 
Akeneo Web REST API v1.0,The Akeneo Web API enables you to connect the Product Information Management system with the data sources  The connectors allow you to connect the PIM with all the data sources it needs to spread the products information to systems such as e commerce websites or marketplaces  The API helps to centralize technical and marketing information of your catalogs and products  that provides a service for product information and includes  Product  Category  Family  Attribute  Media file and more  Akeneo is an open source Product Information Management  PIM  system designed for retailers looking for efficient answers to their multichannel needs 
Bazaarvoice Curations REST API v3.0,The Bazaarvoice Curations API allows developers to display consumer generated content  CGC  in whatever way they prefer  Bazaarvoice moderates CGC  tags it with the relevant product information  and requests user permissions before returning it to the client for display Bazaarvoice helps companies learn about and connect with their customers so they can deliver better shopping experiences 
Cognition Cockpit,The Cognition Cockpit API allows both Cognition and external customers to programmatically retrieve and modify Cockpit data through a comprehensive interface  Cognition Cockpit provides a unified architecture for application development  It can help users manage requirements for infrastructure  design appeal  reliability  ease of use  configurability  cost  traceability  speed  and integration with design workflows  Cognition Corporation provides solutions for product and process development to medical device companies   Cognition Cockpit is a system that provides users with Risk  VOC  Testing  Requirements and Knowledge Management 
DiscountMetrics Unspecified API,Discount Metrics is a data provider that offers a broad range of service including promotion feeds  coupon feeds  search engines  a UPC database  a categorization engine  and other products and service  The Discount Metrics UPC Database API provides users with programmatic access to over 600 000 products each containing searchable information such as UPC  Brand  Manufacturer  Category  Size  Description  Product Image  Nutrition Product facts  and other information  The information is available on a pay by use basis  Interested developers should request for API access 
Factual CPG Products REST API v3.0,This API provides product data for over 650 000 consumer packaged goods  including  health  beauty  food  beverage  and household products  With CPG Products  you can access key product attributes  find products using powerful search tools or UPC lookup  and connect to product pages across the web  Factual is an open data platform for application developers that leverages large scale data aggregation and community exchange 
The Home Depot Product,The Home Depot Product works in REST interface with the aim to offer product details  type of products  availability in store and online  and product dimensions  Shipping information includes eligibility for free shipping  estimated delivery  and product rating  API Key and token as authentication models 
PIMworks Unspecified API v3.8,This API provides services to elevate product experience with an end to end PIM solution  PIMworks handles product data glut and send out performing product catalogs to every channel you sell on  PIM stand for Product Information Management  Developers need to request the provider for a demonstration and API access 
Platforme,The Platforme API enables product customization  dynamic pricing  product visualization  and production order management  The API features a REST architecture with JSON responses  and API Key authentication  Endpoints for orders  sizes  configuration  locale  and rendering are supported 
Platforme Webhooks Streaming API,The Platforme Webhooks API adds event based notifications in Platforme enabled applications  The Platforme API enables product customization  dynamic pricing  product visualization  and production order management  API Keys are required for authentication 
Prodsmart,The Prodsmart API allows developers to access and integrate the functionality of Prodsmart with other applications  Public documentation is not available  Interested developers should contact Prodsmart for more information  Prodsmart helps production lines and production become  smart  with product tracking solutions 
Product Hunt GraphQL GraphQL API v2.0,This Product Hunt API provides access to Product Hunt data via a simple Graph QL interface  It allows you to discover new applications  tech creations  hardware  job listings and more  Product Hunt allows you to discover new applications  tech creations  hardware  job listings and more  It provides a system for users to add products  rank products and showcase new trends 
Product Hunt REST API v1.0,Product Hunt is a service that helps a user discover new apps  tech creations  hardware  and even job listings  Their website allows a user to login to add products and use an upvote system to rank products and showcase new trends  Their API  currently in sign up phase  will allow developers to access their data on file to create 3 rd party applications and web services  As release is TBA  this profile is pending further updates 
Qliktag Smart Products Platform REST API v3.0,The Qliktag Platform offers enterprises a cloud Io T layer   tools to rapidly build Industry 4 0 solutions   applications scaled across millions of items with minimal coding  The Qliktag Platform API enables tagged items to easily send   receive information about themselves over the internet via a digital twin elevating them as smart products  Tagged items are any items with a barcode  QR code  NFC  RFID  Datamatrix  Databar  distinguishable label artwork  or a watermark  A tag in combination with a reader facilitates the communication between an item and its digital twin 
Salesforce Commerce Cloud Products REST API v1.0,The Commerce Cloud Products API allows developers to create  manage  and search for products within a merchandising system This API is currently in beta This API is provided by Salesforce Commerce Cloud  a platform for connecting with shoppers and building e commerce experiences 
Salesforce Commerce Cloud Shopper Products REST API v1.0,The Salesforce Commerce Cloud Shopper Products API allows developers to show product details to customers in shopping apps  Product details include attributes  images  variations  recommendations  availability  price  and promotions information This API is currently in beta This API is provided by Salesforce Commerce Cloud  a platform for connecting with shoppers and building e commerce experiences 
Sears Deals,The Sears Deals APIs are designed to connect users with information on product sales pertaining to Sears and Kmart stores  The sales information includes data such as  sales and regular prices  availability of products  start dates of sales  coupon options  product ratings  and shipping information  There are separate APIs designated for WOW deals of the day and Hot Weekly Deals  This API is RESTful and JSON formatted 
Sears Product Details,Sears s Product Details API enables users to access Sears s and Kmart s database of products  Searches return product details such as description  availability  pricing  ID  etc  Sears s Product Details API is RESTful and is JSON and XML formatted 
Sears Product Search,Sears s Product Search API enables users to access Sears s database of products  This database includes both Sears and Kmart inventories and supports product searches based on keyword  price  and category  Sears s Product Search API is RESTful and is JSON and XML formatted 
Sears Top Sellers,Sears s Top Sellers API enables users to access the Sears and Kmart database for information on top selling or most viewed products  Searches return product information such as name  price  rating  and availability  Sears s Top Sellers API is RESTful and is JSON and XML formatted 
SupplyStream,Supply Stream s new web catalog aggregates home electronics and automation industry suppliers and products  The API  available to select software partners  will allow dealers to integrate their customized product and pricing catalog with other industry software tools  Developers interested in accessing the API should contact Supply Stream for more information 
TM Forum Product Inventory Management,The TM Forum Product Inventory Management API allows users to query  create  update  or remove products from their inventory  TM Forum is a global member association for digital businesses  They provide a platform on which members from a wide range of industries can create  prototype  deliver  and monetize digital services for their customers 
Adobe Audience Manager REST API v1,The Adobe Audience Manager REST API allows building profiles of audiences by returning data in JSON format and authenticating with OAuth  Requires Adobe Cloud subscription for API and SDK access  API methods are available for creating and managing algorithms  data integration  domain management  taxonomy  traits  permissions and more  Audience Manager provides services for customer intelligence and online audience data management 
Adobe Target Profiles REST API v1,The Adobe Target Profiles API creates and maintains a profile for every individual user  This profile is stored on the Target edge cluster and is updated in real time after every visit  Might require Adobe Cloud subscription to access APIs  Adobe Target allows marketers to personalize digital user experiences 
Avatar RPC API v1.0,The Avatar API allows developers to get a user s profile picture and real name based on their email address  This can be used to personalize email based communications or even just to add real names to a database of email addresses  The API uses public profile data held by Google  which includes information for more than 1 billion users 
Barchart OnDemand getBalanceSheets,Barchart is a provider of futures  equity and foreign exchange market data  The get BalanceSheets API provides access to public company financial balance sheets based on symbol  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getCompetitors,Barchart is a provider of futures  equity and foreign exchange market data  The get Competitors API provides a list of related stock symbols  competitors  for an underlying stock input  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getFinacialHighlights,Barchart is a provider of futures  equity and foreign exchange market data  The get FinancialHighlights API provides key financial highlights  ratios and statistics for equities based on symbol  Fields include market capitalization  revenue  net income  revenue growth and earnings per share  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getFinacialRatios,Barchart is a provider of futures  equity and foreign exchange market data  The get FinancialRatios API provides key financial ratios for equities based on symbol  Up to 8 years of financial ratios are available and fields include earnings per share  return on equity and price to earnings  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getIncomeStatements,Barchart is a provider of futures  equity and foreign exchange market data  The get IncomeStatements API provides access to public company financial Income statements based on symbol  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getIndexMembers,Barchart is a provider of futures  equity and foreign exchange market data  The get IndexMembers API returns the stocks compromising a given index  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getInsiders,Barchart is a provider of futures  equity and foreign exchange market data  The get Insiders API provides insider transaction records for publically traded companies based on symbol  Data reported includes the date of the transaction  transaction type  number of shares and the transaction value  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getProfile,Barchart is a provider of futures  equity and foreign exchange market data  The get Profile API is used to request information about a company  such as sector  industry  company description  CEO  recent earnings  P E ratio  and address  based on a symbol  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getRatings,Barchart is a provider of futures  equity and foreign exchange market data  The get Ratings API provides analysts ratings on stocks  strong buy  moderate buy  hold  moderate sell or strong sell  based on a symbol  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Deconstructed Rule,Deconstructed is a platform that aggregates a service s user data from any system or connected device using their API  The platform can help map user to device and segment audiences based on a real time comprehensive data profile that incorporates identify  attributes  event data and log ins  Deconstructed s Rule API can be used to transform user profile data acquired via the User API to programmatically trigger events within a development stack  These conditions can be based on time based events or attributes  A use case could be when a user signs up to subscribe to a service  but does not make a purchase  The Rule API could then be programmed to trigger the site s email service provider to contact the user  for example  The Rule API can be utilized to create demographic segments to help target advertising 
Klaviyo Profiles,The Klaviyo Profiles API integrates person record management  Developers can interact with REST architecture  to send HTTP requests and receive JSON responses  authenticating with API Key  The API can be used to organize the profiles of customers with their respective records 
Thomson Reuters World-Check One,The Thomson Reuters World Check One API provides the functionality for filtering profile names without necessarily including secondary fields such date of birth for the subjects  The API conveys requests and responses in JSON format 
BioMed Central,Bio Med Central publishes peer reviewed articles with medical content  With Bio Med Central API  developers can retrieve specific data using HTTP  REST and JSON formats  With this API  users can retrieve medical information  The main value for developers might be the added credibility to a new web application  since Bio Med Central aims to include authoritative sources  Users can find sample results and sample responses in the features of latest articles  editors picks  check article access and search 
CloudPublish,The Cloud Publish REST API is used to build book listings and complex Ecommerce book stores  The API offers book catalog information including subjects data  citations  contributors  and detailed book information such as table of contents and chapter data  JSON is the preferred response format  The API will feature POST in the future for larger requests  Cloud Publish is an e Book and e Journal publishing and delivery service 
FlowPaper Web PDF Viewer Native/Browser API v1.4.0,The Flow Paper web PDF viewer API enhances the viewing and publishing of onlinecontent such as brochures  catalogs  and magazines  The API provides developers with a variety of methods and options for integrating the viewer functionality into applications or website pages 
Ghost Content REST API v3.0,Ghost is a collaborative publishing and blogging platform  The Ghost API provides access to publishing data  Developers who work with bloggers could benefit from the API  which is available in JSON and REST formats and is accessible via OAuth 
Gitbook,The Gitbook API allows users to list their books  get details about a book  get details about an author  proofread a text  spellcheck a list of words  and access the OPDS catalog  Gitbook is a publishing toolchain designed to help take users  works from ideas to finished books  Users can publish their finished books using Git or Git Hub and sell them on all main marketplaces at the price they want 
Google AdSense Host,The Google Ad Sense Host API is a revenue sharing platform for web traffic and browsing activities attributable to user generated content  It sends requests and returns responses in HTTP and JSON formats respectively  However  the automated generation of HTTP requests requires the deployment of client libraries  The API is suitable for developers with clients that delegate the publishing and marketing of their web content such as blogs  SEO articles  and wikis  Eligibility is restricted to websites with daily traffic in excess of 100 000 page views 
HeyZap Publishers REST API v2,The Hey Zap Publishers API integrates reports with advertising data  that developers can integrate via mobile  With API Key as authentication method and URL API  developers can access statistics  filtering  and grouping features 
Issuu oEmbed REST API v1.0,The Issuu o Embed API integrates embedding features via URL  HTTPS GET requests are available with url  iframe  maxwidth  maxheight  and format as parameters  JSON and XML responses are displayed as returns  Issuu is a digital publications platform 
Issuu Viewer JavaScript Indirect API v1.0,The Issuu Viewer Java Script API integrates a user s perspective view  providing HTTP requests and JSON   XML responses in REST architecture  With the API  developers can implement page viewing  page scanning  and page flipping into reading services  Issuu is a digital publications platform 
